age;job;marital;education;latitude;longitude;default;balance;housing;loan;contact;day;month;duration;campaign;pdays;previous;poutcome;y
58;management;married;tertiary;32.613346;-99.6611;no;2143;yes;no;unknown;5;may;261;1;-1;0;unknown;no
44;technician;single;secondary;32.613346;-99.6611;no;29;yes;no;unknown;5;may;151;1;-1;0;unknown;no
33;entrepreneur;married;secondary;32.613346;-99.6611;no;2;yes;yes;unknown;5;may;76;1;-1;0;unknown;no
47;blue-collar;married;unknown;32.613346;-99.6611;no;1506;yes;no;unknown;5;may;92;1;-1;0;unknown;no
33;unknown;single;unknown;32.613346;-99.6611;no;1;no;no;unknown;5;may;198;1;-1;0;unknown;no
35;management;married;tertiary;32.613346;-99.6611;no;231;yes;no;unknown;5;may;139;1;-1;0;unknown;no
28;management;single;tertiary;32.613346;-99.6611;no;447;yes;yes;unknown;5;may;217;1;-1;0;unknown;no
42;entrepreneur;divorced;tertiary;32.613346;-99.6611;yes;2;yes;no;unknown;5;may;380;1;-1;0;unknown;no
58;retired;married;primary;32.613346;-99.6611;no;121;yes;no;unknown;5;may;50;1;-1;0;unknown;no
43;technician;single;secondary;32.613346;-99.6611;no;593;yes;no;unknown;5;may;55;1;-1;0;unknown;no
41;admin.;divorced;secondary;32.613346;-99.6611;no;270;yes;no;unknown;5;may;222;1;-1;0;unknown;no
29;admin.;single;secondary;32.613346;-99.6611;no;390;yes;no;unknown;5;may;137;1;-1;0;unknown;no
53;technician;married;secondary;32.613346;-99.6611;no;6;yes;no;unknown;5;may;517;1;-1;0;unknown;no
58;technician;married;unknown;32.613346;-99.6611;no;71;yes;no;unknown;5;may;71;1;-1;0;unknown;no
57;services;married;secondary;32.613346;-99.6611;no;162;yes;no;unknown;5;may;174;1;-1;0;unknown;no
51;retired;married;primary;32.613346;-99.6611;no;229;yes;no;unknown;5;may;353;1;-1;0;unknown;no
45;admin.;single;unknown;32.613346;-99.6611;no;13;yes;no;unknown;5;may;98;1;-1;0;unknown;no
57;blue-collar;married;primary;32.613346;-99.6611;no;52;yes;no;unknown;5;may;38;1;-1;0;unknown;no
60;retired;married;primary;32.613346;-99.6611;no;60;yes;no;unknown;5;may;219;1;-1;0;unknown;no
33;services;married;secondary;41.930897;-88.01399;no;0;yes;no;unknown;5;may;54;1;-1;0;unknown;no
28;blue-collar;married;secondary;41.930897;-88.01399;no;723;yes;yes;unknown;5;may;262;1;-1;0;unknown;no
56;management;married;tertiary;41.930897;-88.01399;no;779;yes;no;unknown;5;may;164;1;-1;0;unknown;no
32;blue-collar;single;primary;32.959785;-96.83847;no;23;yes;yes;unknown;5;may;160;1;-1;0;unknown;no
25;services;married;secondary;34.18816;-118.76321;no;50;yes;no;unknown;5;may;342;1;-1;0;unknown;no
40;retired;married;primary;37.8529;-121.99003;no;0;yes;yes;unknown;5;may;181;1;-1;0;unknown;no
44;admin.;married;secondary;42.190483;-88.312325;no;-372;yes;no;unknown;5;may;172;1;-1;0;unknown;no
39;management;single;tertiary;42.190483;-88.312325;no;255;yes;no;unknown;5;may;296;1;-1;0;unknown;no
52;entrepreneur;married;secondary;34.0954;-118.1263;no;113;yes;yes;unknown;5;may;127;1;-1;0;unknown;no
46;management;single;secondary;34.0954;-118.1263;no;-246;yes;no;unknown;5;may;255;2;-1;0;unknown;no
36;technician;single;secondary;34.0954;-118.1263;no;265;yes;yes;unknown;5;may;348;1;-1;0;unknown;no
57;technician;married;secondary;34.0954;-118.1263;no;839;no;yes;unknown;5;may;225;1;-1;0;unknown;no
49;management;married;tertiary;34.0954;-118.1263;no;378;yes;no;unknown;5;may;230;1;-1;0;unknown;no
60;admin.;married;secondary;34.0954;-118.1263;no;39;yes;yes;unknown;5;may;208;1;-1;0;unknown;no
59;blue-collar;married;secondary;34.0954;-118.1263;no;0;yes;no;unknown;5;may;226;1;-1;0;unknown;no
51;management;married;tertiary;27.7518;-98.0694;no;10635;yes;no;unknown;5;may;336;1;-1;0;unknown;no
57;technician;divorced;secondary;33.6695;-117.70988;no;63;yes;no;unknown;5;may;242;1;-1;0;unknown;no
25;blue-collar;married;secondary;33.6695;-117.70988;no;-7;yes;no;unknown;5;may;365;1;-1;0;unknown;no
53;technician;married;secondary;33.6695;-117.70988;no;-3;no;no;unknown;5;may;1666;1;-1;0;unknown;no
36;admin.;divorced;secondary;33.11451;-96.60993;no;506;yes;no;unknown;5;may;577;1;-1;0;unknown;no
37;admin.;single;secondary;33.11451;-96.60993;no;0;yes;no;unknown;5;may;137;1;-1;0;unknown;no
44;services;divorced;secondary;33.11451;-96.60993;no;2586;yes;no;unknown;5;may;160;1;-1;0;unknown;no
50;management;married;secondary;33.11451;-96.60993;no;49;yes;no;unknown;5;may;180;2;-1;0;unknown;no
60;blue-collar;married;unknown;34.19631;-118.1303;no;104;yes;no;unknown;5;may;22;1;-1;0;unknown;no
54;retired;married;secondary;34.19631;-118.1303;no;529;yes;no;unknown;5;may;1492;1;-1;0;unknown;no
58;retired;married;unknown;38.939095;-90.132126;no;96;yes;no;unknown;5;may;616;1;-1;0;unknown;no
36;admin.;single;primary;38.939095;-90.132126;no;-171;yes;no;unknown;5;may;242;1;-1;0;unknown;no
58;self-employed;married;tertiary;38.939095;-90.132126;no;-364;yes;no;unknown;5;may;355;1;-1;0;unknown;no
44;technician;married;secondary;38.939095;-90.132126;no;0;yes;no;unknown;5;may;225;2;-1;0;unknown;no
55;technician;divorced;secondary;38.939095;-90.132126;no;0;no;no;unknown;5;may;160;1;-1;0;unknown;no
29;management;single;tertiary;38.939095;-90.132126;no;0;yes;no;unknown;5;may;363;1;-1;0;unknown;no
54;blue-collar;married;secondary;38.939095;-90.132126;no;1291;yes;no;unknown;5;may;266;1;-1;0;unknown;no
48;management;divorced;tertiary;41.5132;-120.51558;no;-244;yes;no;unknown;5;may;253;1;-1;0;unknown;no
32;management;married;tertiary;35.418858;-101.69758;no;0;yes;no;unknown;5;may;179;1;-1;0;unknown;no
42;admin.;single;secondary;35.418858;-101.69758;no;-76;yes;no;unknown;5;may;787;1;-1;0;unknown;no
24;technician;single;secondary;35.418858;-101.69758;no;-103;yes;yes;unknown;5;may;145;1;-1;0;unknown;no
38;entrepreneur;single;tertiary;35.418858;-101.69758;no;243;no;yes;unknown;5;may;174;1;-1;0;unknown;no
38;management;single;tertiary;35.418858;-101.69758;no;424;yes;no;unknown;5;may;104;1;-1;0;unknown;no
47;blue-collar;married;unknown;35.418858;-101.69758;no;306;yes;no;unknown;5;may;13;1;-1;0;unknown;no
40;blue-collar;single;unknown;35.418858;-101.69758;no;24;yes;no;unknown;5;may;185;1;-1;0;unknown;no
46;services;married;primary;35.418858;-101.69758;no;179;yes;no;unknown;5;may;1778;1;-1;0;unknown;no
32;admin.;married;tertiary;35.418858;-101.69758;no;0;yes;no;unknown;5;may;138;1;-1;0;unknown;no
53;technician;divorced;secondary;35.418858;-101.69758;no;989;yes;no;unknown;5;may;812;1;-1;0;unknown;no
57;blue-collar;married;primary;35.418858;-101.69758;no;249;yes;no;unknown;5;may;164;1;-1;0;unknown;no
33;services;married;secondary;35.418858;-101.69758;no;790;yes;no;unknown;5;may;391;1;-1;0;unknown;no
